告警定义号,告警名称,告警层级,告警层级数字
3080,VCC_HIGH_ALARM_TW,,
2268,COLD_START,,
60052,ODU0_ADP_FIFO_ERR,,
2748,M_BPROUSERDIFS,,
1076,LTITW10-1,,
2315,Node_COMFAIL,,
3037,Y1731_LOSS_OF_CONTINUITY,,
852,W_P_LINE2,,
850,W_P_LINE1,,
1328,DGE_OUT_FPL,,
2760,BER_HIGH,CLIENT,1
1077,LTITW10-2,,
2386,US_CLIENT_1_LOSS_THRESH,,
2741,Ne_Safety_Management_Failure,,
1230,1:N_SWTR,,
62113,HCU card is not on line alarm,,
254,SPI_TF,,
419,SPI_TD,,
277,CRC_ERR,CLIENT,1
1267,BCS,,
2432,ONU_COMMUNICATION_ERR,,
1406,TX_LOOP_AGDE,,
62038,Ethernet Communication Fail,,
62063,IUA Link Disconnected,,
308,PROTECT_ER,,
843,CH_OPM_W,,
88,SER,,
243,L_PPS_LOS,,
2411,CPU_INVERSION_FAILED,,
513,V5ID-MIS,,
53,V5PPERR,,
720,RS_SD.,,
2773,IDU_TX_CLOCK_LOS,,
826,LTIE2,,
3082,TEMP_HIGH_ALARM_TW,,
1089,LTIE3,,
808,LTIE1,,
17,SFP,,
2373,E1_LOS,,
2012,FAN_ALM,,
1676,PM_BIP8_SES_LIMIT,ODUk,2
2602,BIAS_HIGH_WARNING,,
1112,BRIDGE_WEST,,
2367,E1_LOF,,
1688,TCM4_BIP8_UAS,,
1140,OSW4_LOCK,,
1747,W_ADJUST_ERR,OTS,6
225,LTIE1_Hz,,
2789,VRF_OPERATION_DOWN,,
1998,E1_NOT_EXIST,,
1093,FORCE_AIS,,
895,GROUP_RS_SES_LIMIT,,
2030,MIOP_HIGH,,
1321,DGE_CH_WAV_EX,,
1366,XC_ABSENT,,
2279,ATUC_PERF_LOSS_THRESH_TRAP,,
868,GROUP_LOS,,
279,G2_FAIL,,
1520,ODU2_LCK,ODUk,2
743,LT_OLS,,
991,POWERALM2V5,,
1514,SM_BEI_SD,OTU,3
1683,SM_BIP8_UAS,,
3420,RECITIF MODULE_MISSING,,
1540,TCM3_SD,,
143,LTIL1,,
144,LTIL2,,
892,TRIB_RS_ES_LIMIT,,
1968,DCCCUTTHROUGH_R,,
2473,ACVOLDOWN,,
427,LTIL9,,
2697,Battery_Charging,,
404,LTIL7,,
416,LTIL8,,
367,LTIL5,,
380,LTIL6,,
324,LTIL3,,
1970,DCCCUTTHROUGH_M,,
341,LTIL4,,
466,ORALM,,
672,BDCVLOVER,,
3342,TX_LOCK_MAIN,,
357,SES_LIMIT(T),,
1196,RMAC_LOOP,,
1579,W_P_T,,
2836,VPNFRR_LOCK_MAIN,,
1577,W_P_R,,
1550,TCM5_TIM,,
2841,M_BLOOPBACKDIF_N,,
2148,LOL_15,,
60095,ETH_AIS,,
62059,Battery Fail,,
1280,MS_WORK_LOCK,,
1794,VP_MMG,,
1445,34M_CARD_SWR,,
2709,XG_OPTMODULE_TXPOWER_LOW_ALARM,,
62117,Ont dying gasp status lamp alarm,,
3065,LINK3_BER_ALARM,,
1651,TCM5_LCK,ODUk,2
61006,UP_BANDWIDTH_UTILIZATION_LOWER_THRESHOLD,,
1612,M_BCFGRDIF,,
955,CLIENT_IOP_HIGH,,
1831,ETH_RDI,,
52,V52CO_P_L3ERR,,
2572,ATUR_SES_OVER_THRESHOLD,,
1880,CLIENT_LOOP,,
615,OTN_SDH_LOF,,
61042,REFERENCE_LOS,,
671,OD_IOLS,,
290,MXAUALM,,
601,VOLT_ERO,,
745,LT_OPM,,
2778,BAT_UTA,,
1644,TCM4_AIS,ODUk,2
2807,Port_Rate_Change,,
619,OTN_SDH_LOS,,
1375,OSCALM,,
60119,TRANSMISSION_INTERFERENCE_WARNING,,
61013,Multiplexing segment signal degradation,,
3459,RECITIF MODULE_DC VOLT OVER,,
761,PWRB_FAIL,,
1784,OMS_FDI_O,,
1785,OMS_FDI_P,,
1633,CLIENT_IOP_LOW,,
1115,SHDSL_LOSW,,
1491,RLOOP,,
3438,HEAT_EX2_TEMP UNDER,,
2057,BMC_LOS,,
1792,VC_RDI,,
62041,SWITCH_CONTACTOR,,
2286,ATUR_PERF_LOSS_THRESH_TRAP,,
893,GROUP_RS_ES_LMIT,,
61039,FLOODING_EXCEED_THRESHOLD,,
2020,CARD_FORCE_SWITCH,,
1940,WRAP_WTR,,
3396,HEAT_EX1 OUTDOOR CTROL,,
61074,OPMACHINE_RXPOWER_OVER,,
2770,BGP_BACKWARD_TRANSITION,,
62002,Client_LOS_Status,,
543,V52CO_PR_PERR,,
1728,MSIM,ODUk,2
1516,ODU1_AIS,ODUk,2
3436,HEAT_EX2_TEMP OVER,,
525,FEC_D_SD,OTU,3
2363,DOOR_OPEN(MSAN),,
1274,ERR3_R,,
359,LTIT1,,
376,LTIT2,,
62066,Battery recharge Over current level,,
573,RING10_SWR,,
1975,RS_SF.,,
2061,PLH_ERR,,
3357,RX_SYNC_LOSS,CLIENT,1
333,ES_LIMIT(T),,
618,OTN_RXLOL,,
1682,TCM6_BIP8_SES_LIMIT,ODUk,2
2591,RX_POWER_LOW_ALARM,,
3431,HUMIDITY1 UNDER,,
1044,CH4_RLOS,,
2092,MAIN_POWER,,
1241,RxErr,,
747,IOP.,,
3079,BIAS_LOW_ALARM_TW,,
1192,BNODE_DIF,,
1583,OMS_ILS,,
1912,BACKUP_FAULT,ODUk,2
61029,ODU2 open connection indicator,,
15,LTIT9,,
1536,TCM2_LINK_REQUEST,,
437,LTIT7,,
842,CH_OPM_E,,
845,LINE1_LOS2,,
443,LTIT8,,
463,GPRO_ERROR,,
476,G1_COMM,,
1178,E_OAMERRI,,
62032,Fan Speed Alarm,,
420,LTIT5,,
429,LTIT6,,
844,LINE1_LOS1,,
3411,BACKUP AC SUPPLY FAIL,,
392,LTIT3,,
408,LTIT4,,
1173,FC_EOVF,,
538,SD_LIMIT,,
766,AUAIS_T,,
2619,BATTERY_TEMPRATURE_OVER_THRESHOLD_ALARM,,
101,OSC_SESLIMIT,,
2379,FRAGMENT_THRESH,,
84,PHONE,,
3329,TCM6_EXC,,
2796,PACL_EXC,,
