"clogid","cbussinessid","cobjectid","cobjectline","calarmcode","crecvoccurutctime"
"4113","","19726553","0","1524","2017/9/22 02:36:17"
"4183","","19726553","0","1524","2017/9/22 02:36:41"
"20019","","19726553","0","1524","2017/9/22 02:53:08"
"20235","","19726553","0","1524","2017/9/22 02:53:45"
"4114","","19726553","0","1524","2017/9/22 02:36:17"
"4184","","19726553","0","1524","2017/9/22 02:36:41"
"20021","","19726553","0","1524","2017/9/22 02:53:08"
"20236","","19726553","0","1524","2017/9/22 02:53:45"
"4115","","19726553","0","1524","2017/9/22 02:36:17"
"4185","","19726553","0","1524","2017/9/22 02:36:41"
"20022","","19726553","0","1524","2017/9/22 02:53:08"
"20237","","19726553","0","1524","2017/9/22 02:53:45"
"20327","","19726553","0","1524","2017/9/22 03:15:12"
"20332","","19726553","0","1524","2017/9/22 03:15:36"
"4116","","19726553","0","1524","2017/9/22 02:36:17"
"4179","","19726553","0","1524","2017/9/22 02:36:37"
"20024","","19726553","0","1524","2017/9/22 02:53:08"
"20238","","19726553","0","1524","2017/9/22 02:53:45"
"20328","","19726553","0","1524","2017/9/22 03:15:12"
"20333","","19726553","0","1524","2017/9/22 03:15:36"
"4117","","19726553","0","1524","2017/9/22 02:36:17"
"4180","","19726553","0","1524","2017/9/22 02:36:37"
"20026","","19726553","0","1524","2017/9/22 02:53:08"
"20049","","19726553","0","1524","2017/9/22 02:53:19"
"20329","","19726553","0","1524","2017/9/22 03:15:12"
"20334","","19726553","0","1524","2017/9/22 03:15:36"
"4016","","19727173","0","1524","2017/9/22 02:36:15"
"4212","","19727173","0","1524","2017/9/22 02:46:23"
"20270","","19727173","0","1524","2017/9/22 02:56:22"
"4063","","19727265","0","1524","2017/9/22 02:36:15"
"20199","","19727265","0","1524","2017/9/22 02:53:20"
"4064","","19727265","0","1524","2017/9/22 02:36:15"
"20200","","19727265","0","1524","2017/9/22 02:53:20"
"4065","","19727265","0","1524","2017/9/22 02:36:15"
"20201","","19727265","0","1524","2017/9/22 02:53:20"
"4066","","19727265","0","1524","2017/9/22 02:36:15"
"20202","","19727265","0","1524","2017/9/22 02:53:20"
"4085","","19727002","0","1524","2017/9/22 02:36:16"
"4202","","19727002","0","1524","2017/9/22 02:41:05"
"20171","","19727002","0","1524","2017/9/22 02:53:13"
"20241","","19727002","0","1524","2017/9/22 02:54:16"
"4087","","19727002","0","1524","2017/9/22 02:36:16"
"4173","","19727002","0","1524","2017/9/22 02:36:34"
"4197","","19727002","0","1524","2017/9/22 02:40:09"
"4205","","19727002","0","1524","2017/9/22 02:42:03"
"20172","","19727002","0","1524","2017/9/22 02:53:13"
"20293","","19727002","0","1524","2017/9/22 03:06:33"
"20330","","19727002","0","1524","2017/9/22 03:15:24"
"4088","","19727002","0","1524","2017/9/22 02:36:16"
"4174","","19727002","0","1524","2017/9/22 02:36:34"
"4198","","19727002","0","1524","2017/9/22 02:40:09"
"4206","","19727002","0","1524","2017/9/22 02:42:03"
"20173","","19727002","0","1524","2017/9/22 02:53:13"
"20294","","19727002","0","1524","2017/9/22 03:06:33"
"20331","","19727002","0","1524","2017/9/22 03:15:24"
"4089","","19727002","0","1524","2017/9/22 02:36:16"
"4175","","19727002","0","1524","2017/9/22 02:36:34"
"4199","","19727002","0","1524","2017/9/22 02:40:09"
"4207","","19727002","0","1524","2017/9/22 02:42:03"
"20174","","19727002","0","1524","2017/9/22 02:53:13"
"20295","","19727002","0","1524","2017/9/22 03:06:33"
"20322","","19727002","0","1524","2017/9/22 03:12:59"
"4090","","19727002","0","1524","2017/9/22 02:36:16"
"4176","","19727002","0","1524","2017/9/22 02:36:34"
"4200","","19727002","0","1524","2017/9/22 02:40:09"
"4208","","19727002","0","1524","2017/9/22 02:42:03"
"20175","","19727002","0","1524","2017/9/22 02:53:13"
"20296","","19727002","0","1524","2017/9/22 03:06:33"
"20323","","19727002","0","1524","2017/9/22 03:12:59"
"4091","","19727002","0","1524","2017/9/22 02:36:16"
"4177","","19727002","0","1524","2017/9/22 02:36:34"
"4201","","19727002","0","1524","2017/9/22 02:40:09"
"4209","","19727002","0","1524","2017/9/22 02:42:03"
"20176","","19727002","0","1524","2017/9/22 02:53:13"
"20297","","19727002","0","1524","2017/9/22 03:06:33"
"20324","","19727002","0","1524","2017/9/22 03:12:59"
"4092","","19727002","0","1524","2017/9/22 02:36:16"
"4178","","19727002","0","1524","2017/9/22 02:36:34"
"20177","","19727002","0","1524","2017/9/22 02:53:13"
"20251","","19727002","0","1524","2017/9/22 02:54:38"
"20298","","19727002","0","1524","2017/9/22 03:06:33"
"20325","","19727002","0","1524","2017/9/22 03:12:59"
"4093","","19727002","0","1524","2017/9/22 02:36:16"
"4191","","19727002","0","1524","2017/9/22 02:37:01"
"20178","","19727002","0","1524","2017/9/22 02:53:13"
"20252","","19727002","0","1524","2017/9/22 02:54:38"
"20299","","19727002","0","1524","2017/9/22 03:06:33"
"20316","","19727002","0","1524","2017/9/22 03:10:35"
"4094","","19727002","0","1524","2017/9/22 02:36:16"
"4192","","19727002","0","1524","2017/9/22 02:37:01"
"20179","","19727002","0","1524","2017/9/22 02:53:13"
"20217","","19727002","0","1524","2017/9/22 02:53:29"
"20300","","19727002","0","1524","2017/9/22 03:06:33"
"20317","","19727002","0","1524","2017/9/22 03:10:35"
"4095","","19727002","0","1524","2017/9/22 02:36:16"
"4193","","19727002","0","1524","2017/9/22 02:37:01"
"20180","","19727002","0","1524","2017/9/22 02:53:13"
"20218","","19727002","0","1524","2017/9/22 02:53:29"
"20301","","19727002","0","1524","2017/9/22 03:06:33"
"20305","","19727002","0","1524","2017/9/22 03:07:54"
"4096","","19727002","0","1524","2017/9/22 02:36:16"
"4194","","19727002","0","1524","2017/9/22 02:37:01"
"20181","","19727002","0","1524","2017/9/22 02:53:13"
"20219","","19727002","0","1524","2017/9/22 02:53:29"
"20302","","19727002","0","1524","2017/9/22 03:06:33"
"20306","","19727002","0","1524","2017/9/22 03:07:54"
"4097","","19727002","0","1524","2017/9/22 02:36:16"
"4195","","19727002","0","1524","2017/9/22 02:37:01"
"20182","","19727002","0","1524","2017/9/22 02:53:13"
"20220","","19727002","0","1524","2017/9/22 02:53:29"
"20253","","19727002","0","1524","2017/9/22 02:54:59"
"20266","","19727002","0","1524","2017/9/22 02:56:18"
"20303","","19727002","0","1524","2017/9/22 03:06:33"
"20307","","19727002","0","1524","2017/9/22 03:07:54"
"4099","","19727002","0","1524","2017/9/22 02:36:16"
"4196","","19727002","0","1524","2017/9/22 02:37:03"
"20183","","19727002","0","1524","2017/9/22 02:53:13"
"4104","","19726553","0","1524","2017/9/22 02:36:17"
"4203","","19726553","0","1524","2017/9/22 02:41:35"
